time,x,y,z
7700,204,-18,-24
7710,213,-16,-23
7720,215,-14,-22
7730,209,-10,-20
7740,205,-8,-19
7750,200,-7,-20
7760,202,-6,-19
7770,197,-3,-18
7780,198,-2,-13
7790,194,-6,-8
7800,192,-8,-4
7810,198,-10,0
7820,196,-10,3
7830,202,-12,6
7840,202,-14,10
7850,201,-13,12
7860,199,-7,9
7870,198,-10,9
7880,199,-12,11
7890,200,-11,14
7900,197,-13,19
7910,194,-7,23
7920,192,-3,25
7930,192,-7,29
7940,195,-14,32
7950,198,-17,32
7960,201,-17,30
7970,202,-20,31
7980,200,-16,32
7990,199,-10,31
8000,196,-8,33
8010,198,-4,34
8020,197,-3,37
8030,193,-4,40
8040,189,-3,43
8050,189,-1,43
8060,189,-1,43
8070,191,-3,44
8080,192,-3,45
8090,193,-2,44
8100,192,-1,42
8110,194,0,39
8120,196,0,37
8130,198,-1,36
8140,197,-1,38
8150,194,-2,41
8160,192,-1,43
8170,192,-1,44
8180,193,-2,44
8190,194,-2,44
8200,194,-1,43
8210,194,-2,44
8220,194,-3,44
8230,193,-3,43
8240,194,-4,43
8250,196,-5,42
8260,198,-4,40
8270,199,-3,37
8280,200,-1,35
8290,199,-1,34
8300,199,-2,35
8310,199,-2,37
8320,198,-2,39
8330,195,-3,41
8340,195,-4,40
8350,197,-6,39
8360,198,-5,37
8370,199,-4,35
8380,199,-4,33
8390,199,-3,32
8400,199,-3,32
8410,198,-3,33
8420,196,-2,33
8430,192,-2,34
8440,190,-2,33
8450,189,-3,33
8460,190,-3,33
8470,192,-1,32
8480,192,0,32
8490,190,-3,32
8500,189,-4,31
8510,193,-4,26
8520,201,-3,18
8530,207,-3,12
8540,209,-2,9
8550,212,-1,8
8560,215,0,2
8570,210,0,3
8580,200,-7,14
8590,198,-10,20
8600,202,-9,18
8610,203,-7,14
8620,201,-5,11
8630,202,-4,0
8640,203,-7,2
8650,200,-8,1
8660,198,-9,4
8670,195,-9,8
8680,192,-7,10
8690,190,-4,4
8700,190,1,1
8710,192,5,-5
8720,194,3,-15
8730,194,-2,-13
8740,192,-5,-17
8750,190,-8,-18
8760,184,-8,-16
8770,180,-6,-11
8780,176,0,-16
8790,178,5,-21
8800,188,10,-44
8810,202,6,-53
8820,210,3,-68
8830,213,-3,-65
8840,210,-3,-67
8850,207,-6,-57
8860,199,-7,-54
8870,190,-6,-55
8880,186,-2,-62
8890,190,-2,-75
8900,192,-5,-77
8910,194,-12,-81
8920,185,-6,-82
8930,183,-3,-85
8940,177,-5,-87
8950,182,-5,-88
8960,191,-8,-90
8970,194,-5,-95
8980,193,-11,-95
8990,189,-6,-95
9000,182,-8,-95
9010,172,-6,-93
9020,175,-10,-100
9030,170,-9,-97
9040,170,-11,-107
9050,170,-5,-114
9060,168,-5,-110
9070,170,-6,-114
9080,165,-7,-117
9090,165,-6,-122
9100,166,-7,-124
9110,162,-8,-125
9120,159,-5,-128
9130,155,-11,-129
9140,151,-7,-128
9150,144,-8,-129
9160,146,-3,-133
9170,144,-3,-139
9180,154,-3,-144
9190,156,-8,-149
9200,161,-15,-154
9210,159,-22,-158
